input,mixing,time,predicted_relative,nonlinear_relative,coherent_profile_error,omitted_cross_error,soft_self_energy_fraction,region,p0
1,8.103112480050155e-07,242.44843145461283,0.010000000090266657,0.009948116659416239,0.005188343038208459,0.483775535092158,1.0258414170614807e-16,"175 common nodes, |y|<=34.8",0.03679019946676568
2,4.910111501785908e-06,242.44843145461283,0.10000000112450853,0.09504751647663258,0.04952484592184842,0.24676465549511273,3.766684138332279e-15,"175 common nodes, |y|<=34.8",0.03679019946676568
3,1.78726246450643e-05,242.44843145461283,1.0000000120565908,0.6577234793273972,0.3422765286025056,0.23442824371376197,4.9906046098468323e-14,"175 common nodes, |y|<=34.8",0.03679019946676568
