panel,delta,input,T,y,width,p0,coherent,omitted_cross,nonlinear,cc,cl,ll
a,1e-06,1,242.44843145461283,-34.800000000000004,139.78180006918654,0.03679019946676568,-0.0003679019979885851,-0.00018801121028017627,-0.00036599319621857807,-0.00012079148838276956,-0.0001798907877084088,-6.721972189740673e-05
a,1e-06,1,242.44843145461283,-34.4,139.78180006918654,0.03679019946676568,-0.00036185398395702185,-0.00018464966997418448,-0.00036000717247994946,-0.0001177152622119234,-0.00017720431398283738,-6.693440776226107e-05
a,1e-06,1,242.44843145461283,-34.0,139.78180006918654,0.03679019946676568,-0.0003558446336543212,-0.00018132494298206758,-0.0003540584060542848,-0.00011468492748714645,-0.00017451969067225362,-6.664001549492113e-05
a,1e-06,1,242.44843145461283,-33.6,139.78180006918654,0.03679019946676568,-0.00034987472276840986,-0.0001780371296868844,-0.0003481476843045714,-0.0001117005345363972,-0.00017183759308152547,-6.633659515048718e-05
a,1e-06,1,242.44843145461283,-33.2,139.78180006918654,0.03679019946676568,-0.0003439449975948458,-0.00017478630985819552,-0.00034227576536886156,-0.00010876210972006357,-0.0001691586877366503,-6.602420013813194e-05
a,1e-06,1,242.44843145461283,-32.800000000000004,139.78180006918654,0.03679019946676568,-0.0003380561754507701,-0.00017157254328294146,-0.00033644337960594267,-0.00010586965605855853,-0.00016648363216782865,-6.570288722438295e-05
a,1e-06,1,242.44843145461283,-32.4,139.78180006918654,0.03679019946676568,-0.000332208945107045,-0.00016839587040326615,-0.00033065122975470956,-0.00010302315386800199,-0.00016381307470377887,-6.537271653526416e-05
a,1e-06,1,242.44843145461283,-32.0,139.78180006918654,0.03679019946676568,-0.00032640396723622933,-0.00016525631295983786,-0.00032489999035201916,-0.00010022256140351671,-0.00016114765427639147,-6.503375155632115e-05
a,1e-06,1,242.44843145461283,-31.6,139.78180006918654,0.03679019946676568,-0.0003206418748786477,-0.00016215387464111914,-0.0003191903093022405,-9.746781550923552e-05,-0.00015848800023752856,-6.468605913188363e-05
a,1e-06,1,242.44843145461283,-31.200000000000003,139.78180006918654,0.03679019946676568,-0.0003149232739232297,-0.00015908854173662414,-0.0003135228075422103,-9.475883227421403e-05,-0.00015583473218660552,-6.432970946241011e-05
a,1e-06,1,242.44843145461283,-30.8,139.78180006918654,0.03679019946676568,-0.00030924874360343634,-0.00015606028379387045,-0.0003078980794391645,-9.209550769365039e-05,-0.00015318845980956587,-6.396477610022006e-05
a,1e-06,1,242.44843145461283,-30.400000000000002,139.78180006918654,0.03679019946676568,-0.0003036188370085218,-0.00015306905427863945,-0.000302316694942191,-8.947771833448107e-05,-0.00015054978272988233,-6.359133594415839e-05
a,1e-06,1,242.44843145461283,-30.0,139.78180006918654,0.03679019946676568,-0.0002980340816077389,-0.00015011479123703045,-0.00029677919781181256,-8.69053220048548e-05,-0.00014791929037070843,-6.320946923217565e-05
a,1e-06,1,242.44843145461283,-29.6,139.78180006918654,0.03679019946676568,-0.0002924949797884857,-0.0001471974179593587,-0.0002912861070216294,-8.437815842654472e-05,-0.00014529756182912702,-6.281925953281398e-05
a,1e-06,1,242.44843145461283,-29.200000000000003,139.78180006918654,0.03679019946676568,-0.0002870020094068448,-0.00014431684364473775,-0.0002858379175242759,-8.189604990981064e-05,-0.00014268516576210704,-6.242079373492712e-05
a,1e-06,1,242.44843145461283,-28.8,139.78180006918654,0.03679019946676568,-0.00028155562434975615,-0.00014147296406561257,-0.00028043510157799156,-7.945880202979242e-05,-0.00014008266028414358,-6.201416203582015e-05
a,1e-06,1,242.44843145461283,-28.400000000000002,139.78180006918654,0.03679019946676568,-0.00027615625510903237,-0.0001386656622319616,-0.0002750781066127306,-7.70662043039885e-05,-0.0001374905928770708,-6.159945792797308e-05
a,1e-06,1,242.44843145461283,-28.0,139.78180006918654,0.03679019946676568,-0.0002708043093655515,-0.00013589480905401374,-0.0002697673584764748,-7.471803087000058e-05,-0.00013490950031153776,-6.117677818401316e-05
a,1e-06,1,242.44843145461283,-27.6,139.78180006918654,0.03679019946676568,-0.00026550017258410906,-0.00013316026400335678,-0.00026450326122375023,-7.241404116296095e-05,-0.00013233990858075226,-6.074622284039583e-05
a,1e-06,1,242.44843145461283,-27.200000000000003,139.78180006918654,0.03679019946676568,-0.00026024420861689093,-0.00013046187577115163,-0.0002592861973663499,-7.01539805919907e-05,-0.0001297823328457393,-6.0307895179160925e-05
a,1e-06,1,242.44843145461283,-26.8,139.78180006918654,0.03679019946676568,-0.0002550367603165668,-0.00012779948292358881,-0.0002541165278617599,-6.793758121511744e-05,-0.000127237277392978,-5.986190170847138e-05
a,1e-06,1,242.44843145461283,-26.400000000000002,139.78180006918654,0.03679019946676568,-0.00024987815015672845,-0.00012517291455323002,-0.00024899459432581317,-6.576456241197303e-05,-0.00012470523560349845,-5.9408352141256975e-05
a,1e-06,1,242.44843145461283,-26.0,139.78180006918654,0.03679019946676568,-0.0002447686808606975,-0.00012258199092639988,-0.00024392071863896941,-6.36346315537965e-05,-0.0001221866899342976,-5.894735937260336e-05
a,1e-06,1,242.44843145461283,-25.6,139.78180006918654,0.03679019946676568,-0.00023970863603637417,-0.00012002652412530162,-0.00023889520280562238,-6.154748467009922e-05,-0.00011968211191107256,-5.8479039455202404e-05
a,1e-06,1,242.44843145461283,-25.200000000000003,139.78180006918654,0.03679019946676568,-0.00023469828081824603,-0.00011750631868508412,-0.00023391833171313575,-5.95028071114731e-05,-0.0001171919621331619,-5.8003511573611015e-05
a,1e-06,1,242.44843145461283,-24.8,139.78180006918654,0.03679019946676568,-0.00022973786251438892,-0.00011502117222462014,-0.00022899037165412944,-5.75002742079772e-05,-0.00011471669028976878,-5.752089801664294e-05
a,1e-06,1,242.44843145461283,-24.400000000000002,139.78180006918654,0.03679019946676568,-0.00022482761125929037,-0.00011257087607119378,-0.00022411157239609486,-5.5539551922750664e-05,-0.0001122567351880966,-5.7031324148443117e-05
a,1e-06,1,242.44843145461283,-24.0,139.78180006918654,0.03679019946676568,-0.00021996774067029016,-0.00011015521587776753,-0.00021928216592999317,-5.362029750011184e-05,-0.00010981252479252261,-5.65349183776557e-05
a,1e-06,1,242.44843145461283,-23.6,139.78180006918654,0.03679019946676568,-0.00021515844850902128,-0.0001077739722334101,-0.0002145023704767518,-5.1742160107880174e-05,-0.00010738447627561118,-5.603181212552993e-05
a,1e-06,1,242.44843145461283,-23.200000000000003,139.78180006918654,0.03679019946676568,-0.0002103999173452415,-0.00010542692126537585,-0.00020977238697236777,-4.9904781473397456e-05,-0.00010497299607986561,-5.5522139791978396e-05
a,1e-06,1,242.44843145461283,-22.8,139.78180006918654,0.03679019946676568,-0.00020569231522402716,-0.00010311383523319066,-0.00020509240321403555,-4.8107796512793424e-05,-0.0001025784799908365,-5.500603872039723e-05
a,1e-06,1,242.44843145461283,-22.400000000000002,139.78180006918654,0.03679019946676568,-0.00020103579633520537,-0.00010083448311409909,-0.00020046259202987499,-4.6350833953147656e-05,-0.00010020131322110626,-5.4483649160951434e-05
a,1e-06,1,242.44843145461283,-22.0,139.78180006918654,0.03679019946676568,-0.00019643050168388762,-9.858863117914187e-05,-0.00019588311412837428,-4.463351694706213e-05,-9.784187050474573e-05,-5.395511423207975e-05
