delta,T,weak_prediction,weak_nonlinear,strong_prediction,strong_nonlinear,strong_expansion_valid,region
1e-06,242.44843145461283,0.010000000090266657,0.009948116659416239,1.0000000120565908,0.6577234793273972,False,"175 common curves, abs(y)<=34.8"
1e-05,53.394915714005144,0.009999999999999998,0.009947240712301176,0.0071114440752706705,0.007084628325333808,True,"65 frozen curves, abs(y)<=w/4"
1e-05,54.060738241707526,0.03000000000000017,0.029531073231666805,0.021349914932537722,0.021110573385061622,True,"65 frozen curves, abs(y)<=w/4"
1e-05,54.74884195159861,0.0955608571640858,0.09096872694472427,0.06805518242795414,0.06568650280681997,True,"65 frozen curves, abs(y)<=w/4"
