input,T_start,T_end,s_peak,width_s,electric_scalar_impulse,magnetic_scalar_impulse,spatial_scalar_impulse,vacuum_scalar_impulse,remaining_matter_impulse,actual_scalar_change,quadrature_closure,scalar_minimum
1,259.24,273.48,285.0518840191903,8.460599504757397,0.02515368602017075,-0.04975995695004629,0.013854238135891634,5.778437565994822e-07,1.412285985044208e-17,-0.010750755510748593,-6.994394787032676e-07,-0.013222897928290851
2,252.24,268.0,276.5848684294502,9.325536248122717,0.04827611582884486,-0.03886938449235962,0.008107649667197988,-3.05699286169948e-05,2.9200850992869475e-17,0.0174970246440266,-1.3213568960335209e-05,-0.022691686445329835
3,246.72,262.72,269.9424018453953,9.570586312238504,0.050032254213207436,-0.0368040323174002,0.006687222731534784,-4.7997758167246894e-05,7.862456277946243e-18,0.01987931790881298,-1.1871039638195607e-05,-0.024149787923439928
