record_index,delta,L_B,constraint_residual,finite_q_relative_error,incoming_plateau,outgoing_plateau
28,9.99999860695766e-10,15.097368154708183,2.2975179336184583e-16,1.5725569725831667e-09,True,True
29,9.99999860695766e-10,20.278184648770846,3.3994625012971735e-16,2.4547197398830256e-09,True,True
30,9.99999860695766e-10,11.635359243349486,8.363215562311498e-16,5.5159257320417665e-08,True,True
31,9.99999860695766e-10,14.743849139787086,2.2975177733098055e-16,1.4984646910616417e-09,True,True
32,9.99999860695766e-10,19.92466563384975,3.3990934048906433e-16,2.403288303723162e-09,True,True
33,9.99999860695766e-10,11.640367598972722,8.712156064154673e-16,5.515816902151365e-08,True,True
34,9.99999860695766e-10,14.74885749541032,2.2975177173216333e-16,1.499710444039255e-09,True,True
35,9.99999860695766e-10,19.929673989472985,3.3990925323504025e-16,2.404110292409972e-09,True,True
36,9.99999860695766e-10,11.640367598972722,8.712156064154673e-16,5.515816964019766e-08,True,True
37,9.99999860695766e-10,14.74885749541032,2.2975177173216333e-16,1.4997105313503505e-09,True,True
38,9.99999860695766e-10,19.929673989472985,3.3990925323504025e-16,2.404110292409972e-09,True,True
39,9.99999860695766e-10,11.640367598972722,8.712156064154673e-16,5.515816964019766e-08,True,True
40,9.99999860695766e-10,14.74885749541032,2.2975177173216333e-16,1.4997105313503505e-09,True,True
41,9.99999860695766e-10,19.929673989472985,3.3990925323504025e-16,2.404110292409972e-09,True,True
42,9.99999860695766e-10,11.640367598972722,8.712156064154673e-16,5.515816964019766e-08,True,True
43,9.99999860695766e-10,14.74885749541032,2.2975177173216333e-16,1.4997105313503505e-09,True,True
44,9.99999860695766e-10,19.929673989472985,3.3990925323504025e-16,2.404110292409972e-09,True,True
45,3.1622779950168933e-09,11.69380810306949,8.851469434792201e-16,5.1489961102976857e-08,True,True
46,3.1622779950168933e-09,14.629604080753639,2.8002504438450946e-16,8.298742643334205e-10,True,True
47,3.1622779950168933e-09,19.522597376893888,2.800263070835905e-16,1.317207554641066e-09,True,True
48,3.1622779950168933e-09,11.698816458692724,7.633029272091977e-16,5.148861442712399e-08,True,True
49,3.1622779950168933e-09,14.634612436376875,2.800248118298292e-16,8.304661426687607e-10,True,True
50,3.1622779950168933e-09,19.527605732517124,2.8002602603867803e-16,1.317607484621708e-09,True,True
51,3.1622779950168933e-09,11.698816458692724,7.633029272091977e-16,5.148861442712399e-08,True,True
52,3.1622779950168933e-09,14.634612436376875,2.800248118298292e-16,8.304661426687607e-10,True,True
53,3.1622779950168933e-09,19.527605732517124,2.8002602603867803e-16,1.317607484621708e-09,True,True
54,3.1622779950168933e-09,11.698816458692724,7.633029272091977e-16,5.148861442712399e-08,True,True
55,3.1622779950168933e-09,14.634612436376875,2.800248118298292e-16,8.304661426687607e-10,True,True
56,3.1622779950168933e-09,19.527605732517124,2.8002602603867803e-16,1.317607484621708e-09,True,True
57,3.1622779950168933e-09,11.698816458692724,7.633029272091977e-16,5.148861442712399e-08,True,True
58,3.1622779950168933e-09,14.634612436376875,2.800248118298292e-16,8.304661426687607e-10,True,True
59,3.1622779950168933e-09,19.527605732517124,2.8002602603867803e-16,1.317607484621708e-09,True,True
60,3.1622779950168933e-09,11.287142958471037,8.39449766365007e-16,5.1606545155624315e-08,True,True
61,3.1622779950168933e-09,14.222938936155186,2.8002550447525047e-16,7.79825362124808e-10,True,True
62,3.1622779950168933e-09,19.115932232295435,2.8002549037561766e-16,1.2826481661598087e-09,True,True
63,3.1622779950168933e-09,11.292151314094273,7.97543776761547e-16,5.160505241068926e-08,True,True
64,3.1622779950168933e-09,14.227947291778422,2.8002586390663316e-16,7.804200626097703e-10,True,True
65,3.1622779950168933e-09,19.12094058791867,2.800256166285015e-16,1.2830647077614849e-09,True,True
66,3.1622779950168933e-09,11.292151314094273,7.97543776761547e-16,5.160505241068926e-08,True,True
67,3.1622779950168933e-09,14.227947291778422,2.8002586390663316e-16,7.804200626097703e-10,True,True
68,3.1622779950168933e-09,19.12094058791867,2.800256166285015e-16,1.2830647077614849e-09,True,True
69,3.1622779950168933e-09,11.292151314094273,7.97543776761547e-16,5.160505241068926e-08,True,True
